Name,Platform,Publisher,Developer,Total_Shipped,Year,,,,,,Critic_Score,User_Score
LEGO Star Wars: The Complete Saga,Wii,LucasArts,Traveller's Tales,5.66,2007,,,,,,8,
Cooking Mama,DS,Majesco,Office Create,5.66,2006,,,,,,6.6,
Tetris,NES,Nintendo,Nintendo,5.58,1989,,,,,,,
Super Mario Advance,GBA,Nintendo,Nintendo EAD,5.57,2001,,,,,,8.2,
Assassin's Creed II,PS3,Ubisoft,Ubisoft Montreal,5.57,2009,,,,,,9,
Super Smash Bros.,N64,Nintendo,HAL Laboratory,5.55,1999,,,,,,8.4,
Assassin's Creed,X360,Ubisoft,Ubisoft Montreal,5.55,2007,,,,,,8.2,8
Batman: Arkham City,PS3,Warner Bros. Interactive,Rocksteady Studios,5.54,2011,,,,,,9.6,
Forza Motorsport 3,X360,Microsoft Game Studios,Turn 10 Studios,5.5,2009,,,,,,9.2,9.8
Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Level 5,5.5,2010,,,,,,8.6,
Final Fantasy IX,PS,Square,SquareSoft,5.5,2000,,,,,,9.2,
Final Fantasy X-2,PS2,Square Enix,Square Enix,5.5,2003,,,,,,8.3,
Sid Meier's Civilization VI,PC,2K Games,Firaxis Games,5.5,2016,,,,,,8.8,7
Tomb Raider (2013),PC,Square Enix,Crystal Dynamics,5.5,2013,,,,,,8.8,
Super Mario Maker 2,NS,Nintendo,Nintendo,5.48,2019,,,,,,8.8,8.5
Pokemon Stadium,N64,Nintendo,HAL Laboratory,5.46,2000,,,,,,7.5,
Minecraft,XOne,Microsoft Studios,Mojang,5.43,2014,,,,,,,
Call of Duty: World at War,PS3,Activision,Treyarch,5.43,2008,,,,,,8.4,
Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo,Nintendo EAD,5.43,2003,,,,,,9.2,
Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Traveller's Tales,5.42,2001,,,,,,6.9,
Super Smash Bros. for Wii U,WiiU,Nintendo,Bandai Namco Games,5.37,2014,,,,,,9.2,8.9
Final Fantasy XIII,PS3,Square Enix,Square Enix,5.35,2010,,,,,,8,9.2
Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Polyphony Digital,5.35,2008,,,,,,8.3,
Dr. Mario,GB,Nintendo,Nintendo R&D1,5.34,1990,,,,,,,
Assassin's Creed III,X360,Ubisoft,Ubisoft Montreal,5.31,2012,,,,,,8.5,
Pokemon Pinball,GBC,Nintendo,Jupiter Corporation,5.31,1999,,,,,,8.7,
Assassin's Creed II,X360,Ubisoft,Ubisoft Montreal,5.3,2009,,,,,,9.1,
The Forest,PC,Endnight Games Ltd,Unknown,5.3,2014,,,,,,8.3,7.3
Donkey Kong 64,N64,Nintendo,Rare Ltd.,5.27,1999,,,,,,9.3,
Just Dance 2,Wii,Ubisoft,Ubisoft Paris,5.25,2010,,,,,,7.3,
Tomb Raider II,PS,Eidos Interactive,Core Design Ltd.,5.24,1997,,,,,,7.6,
Madden NFL 2004,PS2,EA Sports,EA Tiburon,5.23,2003,,,,,,9.5,
Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,5.22,2014,,,,,,8.3,5.5
Fallout: New Vegas,PC,Bethesda Softworks,Obsidian Entertainment,5.22,2010,,,,,,8.3,
Gran Turismo 6,PS3,Sony Computer Entertainment America,Polyphony Digital,5.22,2013,,,,,,,
Kingdom Hearts II,PS2,Square Enix,Square Enix,5.2,2006,,,,,,8.3,
Nintendo Land,WiiU,Nintendo,Nintendo,5.2,2012,,,,,,7.8,7.9
Super Mario Land 3: Wario Land,GB,Nintendo,Nintendo R&D1,5.19,1994,,,,,,7.9,
Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,5.15,1995,,,,,,9.3,
Medal of Honor: Rising Sun,PS2,Electronic Arts,EA Los Angeles,5.13,2003,,,,,,5.9,
Battlefield 1,XOne,Electronic Arts,EA DICE,5.13,2016,,,,,,9.3,7.6
Kirby's Dream Land,GB,Nintendo,HAL Laboratory,5.13,1992,,,,,,,
Microsoft Flight Simulator,PC,Microsoft,Microsoft,5.12,1996,,,,,,7,
Guitar Hero II,PS2,RedOctane,Harmonix Music Systems,5.12,2006,,,,,,9.2,
FIFA 13,X360,EA Sports,EA Canada,5.11,2012,,,,,,,
Resident Evil 5,PS3,Capcom,Capcom,5.1,2009,,,,,,8.6,8.8
Fable III,X360,Microsoft Game Studios,Lionhead Studios,5.1,2010,,,,,,7.8,
Mario & Sonic at the Olympic Games,DS,Sega,Sega,5.1,2008,,,,,,7,
Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,Rockstar Leeds,5.08,2006,,,,,,8.4,
FIFA Soccer 11,PS3,EA Sports,EA Canada,5.08,2010,,,,,,8.7,
Super Mario Bros. Deluxe,GB,Nintendo,Nintendo EAD,5.07,1999,,,,,,9.7,
Final Fantasy XV,PS4,Square Enix,Square Enix,5.07,2016,,,,,,8.1,9.5
Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,5.03,2015,,,,,,8.4,6.4
Tony Hawk's Pro Skater,PS,Activision,Neversoft Entertainment,5.02,1999,,,,,,9.6,
Warzone 2100,PS,Eidos Interactive,Pumpkin Studios,5.01,1999,,,,,,7.5,
Spyro the Dragon,PS,Sony Computer Entertainment,Insomniac Games,5,1998,,,,,,8.7,
Gears of War,X360,Microsoft Game Studios,Epic Games,5,2006,,,,,,9.4,9.4
Gears of War 2,X360,Microsoft Game Studios,Epic Games,5,2008,,,,,,9.4,9.5
